2025-04-27 00:25:17 @update_rotoro_db.log [INFO]:    🟢 Bắt đầu lấy từ khóa từ RSS
2025-04-27 00:26:39 @update_rotoro_db.log [INFO]:    🟢 Đã lấy 173 bài viết từ RSS
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Bắt đầu gửi dữ liệu vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Lưu Diệc Phi theo mốt 'làn da ngọc trai' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Tro cốt diễn viên Quý Bình được rải xuống biển Cần Giờ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Bài học về sự thay đổi của vợ cũ Bill Gates vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Vương Phi gây chú ý tại liveshow Tạ Đình Phong vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Thăng trầm cuộc đời tài tử 'Lộc Đỉnh Ký' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Nghệ sĩ Quang Thọ hát nhạc phim hoạt hình 'Dế Mèn' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Cưới ma giải hạn' - chuyện tình oái ăm vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Jeon Ji Hyun ghi điểm với phong cách dự tiệc vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Phong cách của hoàng tử bé nước Anh vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Khán giả xúc động nghe bản tin chiến thắng ngày 30/4/1975 vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Gia đình Lý Hải mặc đồng điệu trên thảm đỏ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Yeom Hye Ran - diễn viên thực lực chinh phục màn ảnh Hàn vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Kịch xiếc tái hiện ngày non sông thống nhất vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Drop' - ác mộng hẹn hò thời công nghệ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Hàng trăm bạn trẻ xếp hàng xem triển lãm về lịch sử vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Dàn sao cổ vũ lực lượng quân đội hợp luyện diễu binh vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Thụy Điển tặng Việt Nam phim tài liệu chưa từng công bố về ngày 30/4/1975 vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Biệt động Sài Gòn' là phim tiêu biểu của TP HCM 50 năm qua vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ca khúc 'Rừng xanh vang tiếng Ta Lư' gây sốt vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 10 mỹ nhân tranh danh hiệu 'Hoa hậu đẹp nhất thế giới' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Phim 18+ của Hồng Vân đột ngột rời rạp vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Phim 'Địa đạo' chiếu bản đặc biệt vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Vân Nhi - người đẹp Hải Phòng nổi bật tại Hoa hậu Việt Nam vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Giáo hoàng Francis - người nhiệt thành ủng hộ nghệ thuật vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Hoa hậu Thanh Thủy mặc giản dị ở đời thường vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Mỹ nhân Hồng lâu mộng nhận giải 'diễn xuất gây thất vọng' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Bàn cờ mới' - thách thức trong kỷ nguyên AI vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Dàn sao Việt và con hòa vào không khí đại lễ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Các phim lấy cảm hứng cuộc đời Giáo hoàng Francis vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Tặng vé xem phim 'Thunderbolts' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Karma' - vòng xoay nghiệp quả vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Trần Quán Hy - trai hư đổi đời khi làm bố vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Mỹ nữ cổ trang được ví 'như trong tranh' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ý Nhi mang 'Vũ điệu đại ngàn' đến Miss World vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Nữ trung úy thu hút với loạt ảnh mặc quân phục vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Con gái diễn viên Võ Hoài Nam thi hát vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Ánh sáng trong ta' - bài học chuyển hóa nỗi sợ của bà Obama vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Vợ chồng Ưng Hoàng Phúc kỷ niệm 10 năm bên nhau vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Nghệ sĩ Trần Hiếu xúc động bên người thân trong sinh nhật vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Dàn hoa hậu giới thiệu địa danh nổi tiếng của TP HCM vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Những phim kinh điển dành cho dịp 30/4 vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Á hậu Tâm Như làm lễ đính hôn vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Sao nhí ghi dấu ấn trong 'Khi cuộc đời cho bạn quả quýt' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Lượt xem 'The Two Popes' bùng nổ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ảo thuật gia Hàn 'hô biến trang phục' tại Britain's Got Talent vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Đinh Ngọc Diệp khóc vì thương chồng vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Phong độ Quách Phú Thành gây sốt vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Đồng nghiệp tưởng nhớ Quý Bình vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Lý Hải dựng nhà làm bối cảnh chính 'Lật mặt 8' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Demi Moore là 'Người đẹp nhất thế giới năm 2025' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Hàng chục nghìn khán giả hòa cảm xúc ở 'Hẹn ước Bắc - Nam' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 'Vết rạch trên vải' đạt hơn một triệu euro vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Mỹ nhân bị tước danh hiệu Á hậu Hoàn vũ vì thi Miss World vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Họa sĩ Nga kể chuyện vẽ chân dung Tổng thống Donald Trump vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Những hình ảnh đẹp ở chương trình 'Hẹn ước Bắc - Nam' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Những nghệ sĩ gây ấn tượng tại Coachella 2025 vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Địch Lệ Nhiệt Ba kiện vì bị ghép mặt trên phim vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Phương Mỹ Chi thể hiện hình ảnh thanh niên xung phong vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Tác phẩm nghệ thuật cây xà cừ 'hồi sinh' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết 8 tác phẩm chiếu tại tuần phim dịp 50 năm thống nhất đất nước vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Những doanh nghiệp trả cổ tức tiền mặt vượt lãi ngân hàng vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ông Nguyễn Đức Tài: Tôi không điều hành Thế Giới Di Động nữa vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ông Hồ Hùng Anh: 'Techcombank sẽ thu lại tiền khi bất động sản hồi phục' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Canada điều tra chống bán phá giá với thép Việt Nam vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Xây dựng trung tâm thương mại lớn nhất miền Tây vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Temu, Shein bắt đầu tăng giá nhiều sản phẩm vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Bà Cao Thị Ngọc Dung: PNJ lo lắng nhất về giá vàng vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Dự án sản xuất chip bán dẫn, AI có thể được miễn, giảm tiền thuê đất vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết SK Group chưa thoái vốn khỏi Imexpharm vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Chính phủ đề xuất tăng 5.000 tỷ đồng vốn cho Ngân hàng Hợp tác xã vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Các 'ông lớn' công nghệ cao Mỹ chú ý thị trường Việt Nam vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết MobiFone đảm bảo thông suốt kết nối dịp nghỉ lễ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết CEO Vinamilk: 'Nếu thuế nhập khẩu sữa Mỹ về 0%, hàng Việt vẫn rẻ hơn' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ông Lê Viết Hải: Phát hành thêm cổ phiếu để công ty dứt điểm khó khăn vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Mỹ đánh giá cuộc điện đàm về thương mại với Việt Nam 'hiệu quả' vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết PVOIL muốn làm đường ống ngầm dẫn nhiên liệu vào sân bay Long Thành vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Chứng khoán APG huy động vốn 3.200 tỷ đồng vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Trung Quốc cam kết tăng hỗ trợ kinh tế vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Cổ phiếu bất động sản đỡ thị trường vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ông Dương Công Minh: Sacombank sẽ tiếp tục cắt giảm nhân sự vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết CEO Masan: Giá cổ phiếu giảm do nhà đầu tư còn nghi ngờ chuỗi Winmart vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Trung Quốc cân nhắc miễn thuế cho một số hàng hóa Mỹ vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Đề xuất dự án dùng trên 50% vốn ngân sách mới cần đấu thầu vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Ông Trump ký sắc lệnh thúc đẩy khai thác mỏ dưới biển sâu vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Dưa lê hoàng kim Hàn Quốc lần đầu được nhập về Việt Nam vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Nhà máy đầu tiên tại VSIP Cần Thơ có vốn 300 triệu USD vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Chuỗi nhà thuốc Long Châu có đối tác chiến lược vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết VinFast thu 1,8 tỷ USD trong năm 2024 vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Trung Quốc mạnh tay bơm tiền vào nền kinh tế vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Hãng xuất khẩu Trung Quốc ngại bán hàng trong nước vào MongoDB
2025-04-27 00:26:40 @update_rotoro_db.log [INFO]:    🟢 Đã gửi bài viết Có nên 'lướt sóng' cổ phiếu chứng khoán lúc này? vào MongoDB
