2025-05-02 11:57:08 @giaitri.log [INFO]:    ⚙️ Change Stream started. 
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change type: delete
2025-05-02 11:57:23 @giaitri.log [INFO]:    🔧 Change: delete
